public_space_id,osm_id,place_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,route_nearest_crossing_id,route_nearest_crossing_m,route_vs_straight_ratio,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,traffic_calming_within_100m,base_risk_score,public_space_review_priority_score,public_space_access_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0238,130386313,park,,gis_osm_landuse_a_free_1,cross_0137,223.8,False,False,cross_0051,319.4,1.29,tertiary,88.3,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191482.668626 676044.991255),34.90783313986658,32.17754605112542
gen_0254,232404703,park,,gis_osm_landuse_a_free_1,cross_0159,204.7,False,False,cross_0158,302.5,1.40,tertiary,70.7,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192189.458575 675364.981293),34.91534659942651,32.171431250769594
gen_0313,753552706,park,Kdoshei Kahir Park,gis_osm_landuse_a_free_1,cross_0202,208.1,False,False,cross_0202,287.5,1.38,tertiary,140.3,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190548.390252 677011.876209),34.89789779192393,32.186241524508226
gen_0282,237392048,park,,gis_osm_landuse_a_free_1,cross_0159,223.5,False,False,cross_0158,275.8,1.20,tertiary,39.1,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191774.242051 675443.338234),34.910942089410064,32.17212771811384
gen_0237,130386299,park,,gis_osm_landuse_a_free_1,cross_0264,181.2,False,False,cross_0174,270.7,1.37,tertiary,118.4,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192485.476316 675706.766385),34.91847543654569,32.17452051015272
gen_0288,349439375,park,,gis_osm_landuse_a_free_1,cross_0327,223.0,False,False,cross_0028,267.4,1.19,secondary,108.2,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193843.610802 676111.220699),34.932864449513914,32.178199500691875
gen_0362,9678161511,playground,,gis_osm_pois_free_1,cross_0264,173.8,False,False,cross_0235,266.1,1.40,tertiary,116.5,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192486.431453 675698.3904),34.91848579950937,32.174445000633604
gen_0261,232408787,park,,gis_osm_landuse_a_free_1,cross_0304,158.8,False,False,cross_0229,286.4,1.76,tertiary,56.7,True,0,0,60,85,"[""generator_far_from_network_proxy"", ""high_network_detour_ratio"", ""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""generator_far_from_mapped_network_proxy"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192689.968096 675310.877169),34.920654660066056,32.17095536656384
gen_0224,1194230758,park,,gis_osm_landuse_a_free_1,cross_0293,505.4,False,False,cross_0293,707.2,1.40,tertiary,34.5,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (194480.878318 677478.773275),34.93958575900434,32.190546052138316
gen_0223,1194230278,park,,gis_osm_landuse_a_free_1,cross_0293,486.7,False,False,cross_0293,706.0,1.45,tertiary,123.3,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (194327.88797 677519.442421),34.93796230060356,32.19090938795852
