generator_id,osm_id,generator_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,nearest_major_road_id,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,nearest_crossing_signals_within_50m,nearest_crossing_major_road_m,traffic_calming_within_100m,sidewalk_no_roads_within_50m,lit_no_roads_within_50m,risk_score,risk_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0191,1202300166,kindergarten,,gis_osm_pois_a_free_1,cross_0191,392.0,False,False,road_01437,tertiary,31.0,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189793.920741 677967.033881),34.88986778902976,32.194835197776605
gen_0320,883116424,park,,gis_osm_landuse_a_free_1,cross_0187,391.2,False,False,road_00311,tertiary,117.1,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190140.180536 677133.907303),34.89356540254418,32.187331400314065
gen_0307,643162736,park,,gis_osm_landuse_a_free_1,cross_0191,374.9,False,False,road_01124,tertiary,118.8,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189884.162699 678007.258178),34.89082355903398,32.19520030425203
gen_0321,883116425,park,,gis_osm_landuse_a_free_1,cross_0187,374.2,False,False,road_00311,tertiary,144.7,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190159.251812 677153.854493),34.89376702558215,32.18751177482967
gen_0001,12172533321,bus_stop,ספיר/סקיבין,gis_osm_transport_free_1,cross_0189,370.8,False,False,road_00329,tertiary,3.9,True,0,0,10.5,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189751.754038 677890.175522),34.88942299951178,32.19414100062981
gen_0302,641703935,park,,gis_osm_landuse_a_free_1,cross_0187,370.7,False,False,road_00311,tertiary,128.9,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190135.768346 677153.991918),34.893517999615284,32.187512402254235
gen_0155,5210713959,bus_stop,נעמי שמר/יאיר רוזנבלום,gis_osm_transport_free_1,cross_0188,370.6,False,False,road_00586,tertiary,0.7,True,0,0,7.8,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189911.057644 677190.861409),34.891133999511254,32.18783900063056
gen_0354,641699298,playground,,gis_osm_pois_a_free_1,cross_0187,366.9,False,False,road_00311,tertiary,114.7,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190112.620021 677155.988126),34.893272470509544,32.187529799869544
gen_0107,1803042067,bus_stop,יבנה/חברון,gis_osm_transport_free_1,cross_0182,356.7,False,False,road_00096,tertiary,82.5,True,0,0,13.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192177.84532 676399.169743),34.91519399950993,32.18075700063276
gen_0353,641699293,playground,,gis_osm_pois_a_free_1,cross_0187,347.2,False,False,road_00311,tertiary,145.2,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190134.327843 677177.494661),34.89350200394337,32.18772430526364
