generator_id,osm_id,generator_type,name,source_layer,original_geometry_type,data_quality_flags,geometry_wkt,lon,lat
gen_0030,1802996768,bus_stop,בי״ח מאיר/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190536.2088 676436.872768),34.89778599951055,32.18105600063167
gen_0031,1802997011,bus_stop,בית משפט/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (189986.836139 675845.508878),34.89197899951034,32.17570900063188
gen_0032,1802998071,bus_stop,בית ספר רמז/דרך אלי הורוביץ,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194446.774543 676258.589478),34.939255999509,32.17954200063435
gen_0033,1803000247,bus_stop,דרך המוביל/בקעת בית נטופה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193649.407764 676604.35303),34.93079199950953,32.18264200063351
gen_0034,1803000260,bus_stop,אצטדיון לויטה/דרך הפועל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193384.961607 676564.664156),34.92798899950961,32.182278000633374
gen_0035,1803000264,bus_stop,בן יהודה/דרך הפועל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193460.942983 676663.052774),34.92879199950965,32.18316700063334
gen_0036,1803000282,bus_stop,בן יהודה/חטיבת הנח״ל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193966.046092 676698.47669),34.93414699950949,32.183498000633634
gen_0037,1803000287,bus_stop,בן יהודה/חטיבת הנח״ל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193936.197089 676716.849006),34.9338299995095,32.18366300063359
gen_0038,1803000312,bus_stop,מרכז דוד/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194305.639763 676696.631174),34.93774799950936,32.18348900063384
gen_0039,1803000358,bus_stop,בן יהודה/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191201.403415 677057.218756),34.90482099951069,32.186667000631516
