source_dataset_id,source_file_name,source_layer,osm_id,code,fclass,population,name,name_search,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,pbf_enriched_workspace_id,route_aware_workspace_id,source_gis_modified
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84620736,1002,town,0,קרית אונו,קרית אונו  84620736,34.8367811,32.0464609,34.8683771,32.0698447,safe_access_pilot_84620736_pbf_enriched_v001,safe_access_pilot_84620736_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84620760,1010,suburb,2572,קרית קריניצי,קרית קריניצי  84620760,34.8415771,32.0499855,34.8534907,32.0620278,safe_access_pilot_84620760_pbf_enriched_v001,safe_access_pilot_84620760_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84654112,1003,village,0,גבעת שפירא,גבעת שפירא  84654112,34.8736060,32.3550954,34.8784798,32.3595385,safe_access_pilot_84654112_pbf_enriched_v001,safe_access_pilot_84654112_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84675860,1003,village,0,מענית,מענית  84675860,35.0238041,32.4529702,35.0327469,32.4607071,safe_access_pilot_84675860_pbf_enriched_v001,safe_access_pilot_84675860_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84675875,1003,village,0,גבעת חביבה,גבעת חביבה  84675875,35.0194306,32.4554021,35.0240078,32.4595665,safe_access_pilot_84675875_pbf_enriched_v001,safe_access_pilot_84675875_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84676234,1003,village,0,עין עירון,עין עירון  84676234,35.0049711,32.4797429,35.0140674,32.4875858,safe_access_pilot_84676234_pbf_enriched_v001,safe_access_pilot_84676234_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84676236,1003,village,0,כפר פינס,כפר פינס  84676236,34.9972535,32.4806257,35.0071097,32.4891313,safe_access_pilot_84676236_pbf_enriched_v001,safe_access_pilot_84676236_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84676241,1003,village,0,ברקאי,ברקאי  84676241,35.0233425,32.4720332,35.0340095,32.4777341,safe_access_pilot_84676241_pbf_enriched_v001,safe_access_pilot_84676241_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84676534,1003,village,0,בארותיים,בארותיים  84676534,34.9727300,32.3141784,34.9937368,32.3288578,safe_access_pilot_84676534_pbf_enriched_v001,safe_access_pilot_84676534_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84677292,1003,village,0,רגבים,רגבים  84677292,35.0312356,32.5209654,35.0380558,32.5279407,safe_access_pilot_84677292_pbf_enriched_v001,safe_access_pilot_84677292_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84677293,1003,village,0,עארה,עארה  84677293,35.0671022,32.5015163,35.0884812,32.5119833,safe_access_pilot_84677293_pbf_enriched_v001,safe_access_pilot_84677293_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84677992,1003,village,0,עמיקם,עמיקם  84677992,35.0122116,32.5590867,35.0288046,32.5698134,safe_access_pilot_84677992_pbf_enriched_v001,safe_access_pilot_84677992_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84678540,1003,village,0,גלעד,גלעד  84678540,35.0714174,32.5536398,35.0806050,32.5602177,safe_access_pilot_84678540_pbf_enriched_v001,safe_access_pilot_84678540_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84678880,1003,village,0,בית חנניה,בית חנניה  84678880,34.9221557,32.5238587,34.9287964,32.5322799,safe_access_pilot_84678880_pbf_enriched_v001,safe_access_pilot_84678880_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84843007,1003,village,0,עיינות,עיינות  84843007,34.7649260,31.9134950,34.7709396,31.9176553,safe_access_pilot_84843007_pbf_enriched_v001,safe_access_pilot_84843007_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84844214,1003,village,0,אביאל,אביאל  84844214,34.9845777,32.5279014,35.0002533,32.5367209,safe_access_pilot_84844214_pbf_enriched_v001,safe_access_pilot_84844214_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84844778,1003,village,0,אלוני יצחק,אלוני יצחק  84844778,35.0021108,32.5077019,35.0068896,32.5129205,safe_access_pilot_84844778_pbf_enriched_v001,safe_access_pilot_84844778_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84844779,1003,village,0,כפר גליקסון,כפר גליקסון  84844779,35.0006162,32.5029605,35.0096831,32.5098715,safe_access_pilot_84844779_pbf_enriched_v001,safe_access_pilot_84844779_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84868212,1003,village,0,משמרות,משמרות  84868212,34.9788128,32.4846092,34.9882305,32.4924866,safe_access_pilot_84868212_pbf_enriched_v001,safe_access_pilot_84868212_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84882742,1002,town,0,כפר קרע,כפר קרע  84882742,35.0300412,32.4909182,35.0683919,32.5173322,safe_access_pilot_84882742_pbf_enriched_v001,safe_access_pilot_84882742_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,84883082,1003,village,0,عرعرة,عرعرة  84883082,35.0727162,32.4889279,35.1216936,32.5071897,safe_access_pilot_84883082_pbf_enriched_v001,safe_access_pilot_84883082_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85321343,1003,village,0,ארסוף קדם,ארסוף קדם  85321343,34.8181621,32.2013074,34.8223845,32.2074923,safe_access_pilot_85321343_pbf_enriched_v001,safe_access_pilot_85321343_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85392469,1003,village,0,ארסוף,ארסוף  85392469,34.8142110,32.2109756,34.8187451,32.2165054,safe_access_pilot_85392469_pbf_enriched_v001,safe_access_pilot_85392469_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85787867,1002,town,0,באקה אל-גרביה,באקה אל-גרביה  85787867,35.0243973,32.4012010,35.0574783,32.4326266,safe_access_pilot_85787867_pbf_enriched_v001,safe_access_pilot_85787867_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788159,1004,hamlet,0,العريان,العريان  85788159,35.1232180,32.4969115,35.1270562,32.4988240,safe_access_pilot_85788159_pbf_enriched_v001,safe_access_pilot_85788159_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788160,1003,village,0,מי עמי,מי עמי  85788160,35.1438685,32.5032237,35.1508632,32.5064505,safe_access_pilot_85788160_pbf_enriched_v001,safe_access_pilot_85788160_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788276,1003,village,0,מועאוויה,מועאוויה  85788276,35.0944183,32.5277985,35.1135452,32.5341254,safe_access_pilot_85788276_pbf_enriched_v001,safe_access_pilot_85788276_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788277,1003,village,0,عقدة,عقدة  85788277,35.1666995,32.5397521,35.1739018,32.5434532,safe_access_pilot_85788277_pbf_enriched_v001,safe_access_pilot_85788277_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788278,1003,village,0,سالم,سالم  85788278,35.1942464,32.5391658,35.2048438,32.5485294,safe_access_pilot_85788278_pbf_enriched_v001,safe_access_pilot_85788278_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788279,1003,village,0,גבעת עוז,גבעת עוז  85788279,35.1952652,32.5514555,35.2016533,32.5593471,safe_access_pilot_85788279_pbf_enriched_v001,safe_access_pilot_85788279_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788281,1002,town,55411,أم الفحم,أم الفحم  85788281,35.1294370,32.5058019,35.1717194,32.5374341,safe_access_pilot_85788281_pbf_enriched_v001,safe_access_pilot_85788281_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788557,1003,village,0,מושב מרחביה,מושב מרחביה  85788557,35.3107145,32.5971258,35.3235260,32.6114438,safe_access_pilot_85788557_pbf_enriched_v001,safe_access_pilot_85788557_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788558,1003,village,0,سولم,سولم  85788558,35.3305562,32.6030940,35.3382434,32.6094124,safe_access_pilot_85788558_pbf_enriched_v001,safe_access_pilot_85788558_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788881,1010,suburb,0,עפולה עילית,עפולה עילית  85788881,35.3117750,32.6266375,35.3385026,32.6408760,safe_access_pilot_85788881_pbf_enriched_v001,safe_access_pilot_85788881_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85788885,1010,suburb,0,גבעת המורה,גבעת המורה  85788885,35.3217869,32.6135412,35.3378964,32.6297983,safe_access_pilot_85788885_pbf_enriched_v001,safe_access_pilot_85788885_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85789179,1003,village,0,מזרע,מזרע  85789179,35.2818808,32.6468823,35.2912793,32.6551650,safe_access_pilot_85789179_pbf_enriched_v001,safe_access_pilot_85789179_route_aware_v001,False
